period_id,metric_version,source_class,rule_version,entity_id,entity_name,entity_type,parent_category,signal_level,event_count,content_count,active_brand_count,likes_valid_count,likes_missing_count,likes_sum,likes_mean,likes_median,likes_p75,likes_p90,likes_max,top_content_id,sample_flag,snapshot_age_hours_min,snapshot_age_hours_median,snapshot_age_hours_max
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-COLLAB-PARTNER-多邻国,多邻国,collab_partner,品牌跨界,single_brand_case,1,2,1,2,0,4632,2316,2316,2575,2730.4,2834,xhs-6a632195000000000f02bdfd,small_sample,77.2,112.5,147.8
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-COLLAB-PARTNER-米菲,米菲,collab_partner,潮流角色 IP,single_brand_case,1,2,1,2,0,2151,1075.5,1075.5,1377.75,1559.1,1680,xhs-6a603293000000001303c324,small_sample,106.9,118.8,130.7
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-COLLAB-PARTNER-三丽鸥,三丽鸥,collab_partner,潮流角色 IP,single_brand_case,1,1,1,1,0,1065,1065,1065,1065,1065,1065,xhs-6a6215dc000000000f02ba74,small_sample,96.4,96.4,96.4
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-COLLAB-PARTNER-王者荣耀,王者荣耀,collab_partner,游戏 IP,single_brand_case,1,8,1,8,0,15050,1881.25,1033,2184,4961.1,5722,xhs-6a620670000000001101feb4,sufficient_for_descriptive_stats,4,77,125.5
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-COLLAB-PARTNER-赞萌露比,赞萌露比,collab_partner,潮流角色 IP,single_brand_case,1,4,1,4,0,1955,488.75,351,677.25,963.9,1155,xhs-6a6589e1000000000402abaf,small_sample,7,21.6,33.4
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-COLLAB-PARTNER-斩神,斩神,collab_partner,文学／国漫 IP,single_brand_case,1,3,1,3,0,2408,802.67,642,898,1051.6,1154,xhs-6a616fb20000000001002012,small_sample,108,108.1,123.6
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-COLLAB-PARTNER-蜘蛛侠,蜘蛛侠,collab_partner,影视／动漫 IP,single_brand_case,1,18,1,18,0,18570,1031.67,478.5,1223.5,2606.6,4144,xhs-6a61f537000000000100dc0c,sufficient_for_descriptive_stats,5.4,75.5,124
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,ENT-COLLAB-PARTNER-crocs,Crocs,collab_partner,品牌跨界,single_brand_case,1,6,1,6,0,9417,1569.5,698,1025.75,3826,6568,xhs-6a6634d1000000001c011cfd,sufficient_for_descriptive_stats,21.2,51.6,123.2
