period_id,metric_version,source_class,rule_version,theme_id,theme_label,display_order,event_count,content_count,active_brand_count,likes_valid_count,likes_missing_count,likes_sum,likes_mean,likes_median,likes_p75,likes_p90,likes_max,top_content_id,sample_flag,snapshot_age_hours_min,snapshot_age_hours_median,snapshot_age_hours_max,top3_event_content_share,representative_event_id,representative_event_name,metric_scope,review_status
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,product_action,产品动作,1,20,77,9,77,0,101655,1320.19,612,1207,3415.8,11000,xhs-6a61909f0000000001002bb5,sufficient_for_descriptive_stats,3.7,77.1,155.7,0.44,EVT-2026W30-CHABAIDAO-CITRUS,茶百道夏日柑橘系列,品牌事实层；主题允许重叠,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,collaboration,联名合作,2,9,50,6,50,0,59992,1199.84,698,1223.5,2869.5,6568,xhs-6a6634d1000000001c011cfd,sufficient_for_descriptive_stats,4,75.55,147.8,0.68,EVT-2026W30-COTTI-SPIDERMAN,库迪咖啡 ×《蜘蛛侠：崭新之日》,品牌事实层；主题允许重叠,approved
2026-W30,bi-metric-v1.2,brand,bi-tag-rule-v1.2,brand_event,品牌事件,3,15,17,7,17,0,59892,3523.06,1287,1798,4259.2,37000,xhs-6a66d7e7000000001101fb64,sufficient_for_descriptive_stats,6.9,77.2,147.8,0.29,EVT-2026W30-LUCKIN-THAILAND-TRADEMARK,瑞幸泰国商标维权进展,品牌事实层；主题允许重叠,approved
