brand_id,brand_name,platform,official_account_id,status,source_class,rule_version
cotti,库迪咖啡,xiaohongshu,ACC-XHS-COTTI,active_in_period,brand,bi-tag-rule-v1.2
luckin,瑞幸咖啡,xiaohongshu,ACC-XHS-LUCKIN,active_in_period,brand,bi-tag-rule-v1.2
chabaidao,茶百道,xiaohongshu,ACC-XHS-CHABAIDAO,active_in_period,brand,bi-tag-rule-v1.2
auntea,沪上阿姨,xiaohongshu,ACC-XHS-AUNTEA,active_in_period,brand,bi-tag-rule-v1.2
chagee,霸王茶姬,xiaohongshu,ACC-XHS-CHAGEE,active_in_period,brand,bi-tag-rule-v1.2
mixue,蜜雪冰城,xiaohongshu,ACC-XHS-MIXUE,active_in_period,brand,bi-tag-rule-v1.2
heytea,喜茶,xiaohongshu,ACC-XHS-HEYTEA,active_in_period,brand,bi-tag-rule-v1.2
molly,茉莉奶白,xiaohongshu,ACC-XHS-MOLLY,active_in_period,brand,bi-tag-rule-v1.2
guming,古茗,xiaohongshu,ACC-XHS-GUMING,active_in_period,brand,bi-tag-rule-v1.2
