period_id,dimension_type,dimension_id,dimension_name,metric_id,metric_value,source_class,metric_version
2026-W30,theme,product_action,产品动作,event_count,20,brand,bi-metric-v1.2
2026-W30,theme,product_action,产品动作,content_count,77,brand,bi-metric-v1.2
2026-W30,theme,product_action,产品动作,active_brand_count,9,brand,bi-metric-v1.2
2026-W30,theme,product_action,产品动作,likes_valid_count,77,brand,bi-metric-v1.2
2026-W30,theme,product_action,产品动作,likes_median,612,brand,bi-metric-v1.2
2026-W30,theme,product_action,产品动作,likes_p75,1207,brand,bi-metric-v1.2
2026-W30,theme,product_action,产品动作,likes_mean,1320.19,brand,bi-metric-v1.2
2026-W30,theme,product_action,产品动作,likes_max,11000,brand,bi-metric-v1.2
2026-W30,theme,collaboration,联名合作,event_count,9,brand,bi-metric-v1.2
2026-W30,theme,collaboration,联名合作,content_count,50,brand,bi-metric-v1.2
2026-W30,theme,collaboration,联名合作,active_brand_count,6,brand,bi-metric-v1.2
2026-W30,theme,collaboration,联名合作,likes_valid_count,50,brand,bi-metric-v1.2
2026-W30,theme,collaboration,联名合作,likes_median,698,brand,bi-metric-v1.2
2026-W30,theme,collaboration,联名合作,likes_p75,1223.5,brand,bi-metric-v1.2
2026-W30,theme,collaboration,联名合作,likes_mean,1199.84,brand,bi-metric-v1.2
2026-W30,theme,collaboration,联名合作,likes_max,6568,brand,bi-metric-v1.2
2026-W30,theme,brand_event,品牌事件,event_count,15,brand,bi-metric-v1.2
2026-W30,theme,brand_event,品牌事件,content_count,17,brand,bi-metric-v1.2
2026-W30,theme,brand_event,品牌事件,active_brand_count,7,brand,bi-metric-v1.2
2026-W30,theme,brand_event,品牌事件,likes_valid_count,17,brand,bi-metric-v1.2
2026-W30,theme,brand_event,品牌事件,likes_median,1287,brand,bi-metric-v1.2
2026-W30,theme,brand_event,品牌事件,likes_p75,1798,brand,bi-metric-v1.2
2026-W30,theme,brand_event,品牌事件,likes_mean,3523.06,brand,bi-metric-v1.2
2026-W30,theme,brand_event,品牌事件,likes_max,37000,brand,bi-metric-v1.2
2026-W30,tag,product-new-launch,新品上市,event_count,5,brand,bi-metric-v1.2
2026-W30,tag,product-new-launch,新品上市,content_count,7,brand,bi-metric-v1.2
2026-W30,tag,product-new-launch,新品上市,active_brand_count,4,brand,bi-metric-v1.2
2026-W30,tag,product-new-launch,新品上市,likes_valid_count,7,brand,bi-metric-v1.2
2026-W30,tag,product-new-launch,新品上市,likes_median,729,brand,bi-metric-v1.2
2026-W30,tag,product-new-launch,新品上市,likes_p75,1631,brand,bi-metric-v1.2
2026-W30,tag,product-product-bundle,联名产品或套餐,event_count,5,brand,bi-metric-v1.2
2026-W30,tag,product-product-bundle,联名产品或套餐,content_count,39,brand,bi-metric-v1.2
2026-W30,tag,product-product-bundle,联名产品或套餐,active_brand_count,4,brand,bi-metric-v1.2
2026-W30,tag,product-product-bundle,联名产品或套餐,likes_valid_count,39,brand,bi-metric-v1.2
2026-W30,tag,product-product-bundle,联名产品或套餐,likes_median,754,brand,bi-metric-v1.2
2026-W30,tag,product-product-bundle,联名产品或套餐,likes_p75,1218,brand,bi-metric-v1.2
2026-W30,tag,product-lemon,柠檬,event_count,5,brand,bi-metric-v1.2
2026-W30,tag,product-lemon,柠檬,content_count,18,brand,bi-metric-v1.2
2026-W30,tag,product-lemon,柠檬,active_brand_count,4,brand,bi-metric-v1.2
2026-W30,tag,product-lemon,柠檬,likes_valid_count,18,brand,bi-metric-v1.2
2026-W30,tag,product-lemon,柠檬,likes_median,790,brand,bi-metric-v1.2
2026-W30,tag,product-lemon,柠檬,likes_p75,1068.5,brand,bi-metric-v1.2
2026-W30,tag,product-jasmine,茉莉,event_count,3,brand,bi-metric-v1.2
2026-W30,tag,product-jasmine,茉莉,content_count,5,brand,bi-metric-v1.2
2026-W30,tag,product-jasmine,茉莉,active_brand_count,2,brand,bi-metric-v1.2
2026-W30,tag,product-jasmine,茉莉,likes_valid_count,5,brand,bi-metric-v1.2
2026-W30,tag,product-jasmine,茉莉,likes_median,647,brand,bi-metric-v1.2
2026-W30,tag,product-jasmine,茉莉,likes_p75,1022,brand,bi-metric-v1.2
2026-W30,tag,product-yogurt,酸奶,event_count,3,brand,bi-metric-v1.2
2026-W30,tag,product-yogurt,酸奶,content_count,14,brand,bi-metric-v1.2
2026-W30,tag,product-yogurt,酸奶,active_brand_count,3,brand,bi-metric-v1.2
